,,,,,,,,,,,,SUMME,EIGENANTEIL
,,1,Krokodilklemmen,,,,https://amazon.de/dp/B0BJJPJTM5,"5,01",,,,,
,,1,Krokodilklemmen,,,,https://amazon.de/dp/B08C9M4Z3C,"8,99",,,,,
,,1,Krokodilklemmen,,,,https://amazon.de/dp/B0C3B34BKQ,"8,99",,,,,
,,0,Spannungsprüfer,,,,,,,,,,
,,0,Leuchtmittel zum Testen,,,,,,,,,,
,,0,Messkabel,,,,,,,,,,
,,0,Pinzetten,,,,,,,,,,
,,1,Schrumpfschlauch,,,,https://amazon.de/dp/B0CPBKQ4RW,"6,99",,,,,
,,0,AA Akkus,,,,,,,,,,
,,0,AAA Akkus,,,,,,,,,,
,,1,Akku Ladegerät,,,,https://www.ebay.de/itm/191589255367,"49,9",,,,,
,,1,Punktschweißgerät,,,,https://amazon.de/dp/B0DBV3WRT9,"67,99",,,,,
,,,,,,,,,,,,,
,,,Bereich: Textil,,,,,,,,,"47,84",
,,0,Nähmschine,,Brother,KD40s,https://forum.makerspace-gt.de/t/geht-weiter-werkzeugausstattung-repair-cafe/890/15?u=nielsfechtel,339,,,,,
,,1,Stoffschere,,Fiskars,,https://forum.makerspace-gt.de/t/geht-weiter-werkzeugausstattung-repair-cafe/890/15?u=nielsfechtel,"25,99",,,,,
,,1,Stickschere,,Fiskars,,https://forum.makerspace-gt.de/t/geht-weiter-werkzeugausstattung-repair-cafe/890/15?u=nielsfechtel,"13,88",,,,,
,,2,Nähmaschinenöl,,Hanseline,,https://www.naehwelt-flach.de/feinstes-naehmaschinenoel-100ml.html,"2,49",,,,,
,,1,Maßband für Stoff,,,,https://amazon.de/dp/B0DHYLZPR1,"2,99",,,,,
,,,,,,,,,,,,,
,,,Bereich: Fahrrad,,,,,,,,,"129,61",
,,1,Fahradflickzeug,,,,https://amazon.de/dp/B081CVJBFD,"7,64",,,,,
,,1,Fahrradpumpe,,,,https://amazon.de/dp/B08HQHW4LS,"54,99",,,,,
,,1,Kettenfett,,,,https://amazon.de/dp/B003FSSOE8,"16,99",,,,,
,,1,Fahrradwerkzeug,,,,https://amazon.de/dp/B01N0A8MZR,"49,99",,,,,
,,0,Mantelheber,,,,,,,,,,
,,0,Speichenspanner,,,,,,,,,,
,,,,,,,,,,,,,
,,,Bereich: HiFi,,,,,,,,,0,
,,0,Kassette CD zum testen,,,,,,,,,,
,,0,Brillenputztücher,,,,,,,,,,
,,0,Wattestäbchen,,,,,,,,,,
,,0,Klinkenkabel,,,,,,,,,,
,,0,Linsensreiniger,,,,,,,,,,
,,,,,,,,,,,,,
,,,Bereich: Mechanik,,,,,,,,,"1136,24",
,,1,Abzieher,,,,https://www.ebay.de/itm/364361655571,"30,95",,,,,
,,1,KNIPEX TwinGrip,Front- und Seitengreifzange ,KNIPEX,82 02 250,https://www.knipex.de/produkte/rohr-und-wasserpumpenzangen/knipex-twingrip-front-und-seitengreifenzangen/knipex-twingrip-front-und-seitengreifenzangen/8202250,30,,,,,
,,1,Feinmechaniköl,,KONTAKT CHEMIE,Lub Oil 88,https://www.kontaktchemie.com/KOC/KOCproductdetailV2.csp?product=LUB%20OIL%2088,"9,01",,,,,
,,1,Schrauben,,,,https://amazon.de/dp/B09CMKQR7D,"11,88",,,,,
,,1,Poppnietzange,,,,https://amazon.de/dp/B01M06EGX5,"32,24",,,,,
,,1,"Messschieber, analog",,,,https://amazon.de/dp/B074HZ8S21,"14,59",,,,,
,,2,"Messschieber, digital",,,,https://amazon.de/dp/B0DCFT4B65,"20,99",,,,,
,,1,Radienleere,,,,https://amazon.de/dp/B000VD1JGU,"16,16",,,,,
,,1,Spion,,,,https://amazon.de/dp/B07B3TQQSV,"9,89",,,,,
,,1,Spiegel,,,,https://amazon.de/dp/B0CTF6ZX5L,"5,99",,,,,
,,1,Gewindeleere,,,,https://amazon.de/dp/B001ILD66U,"18,9",,,,,
,,1,lange Schraubendreher,"Schlitz, Kreuz",WERA,,https://amazon.de/dp/B001DZXAI0,"33,99",,,,,
,,1,lange Schraubendreher,Torx,WERA,,https://amazon.de/dp/B004XMDEDQ,"40,45",,,,,
,,1,Inbusset,,WERA,,https://amazon.de/dp/B06XDCDHV8,"30,99",,,,,
,,1,Torxset,,WERA,,https://amazon.de/dp/B00E8HM9N2,"33,75",,,,,
,,1,Spezialbitsatz,,WERA,,https://amazon.de/dp/B000NI7RRS,"67,99",,,,,
,,1,Griffstück,,WERA,,https://amazon.de/dp/B0015501B2,"18,79",,,,,
,,1,Schraubendreher Satz,,WERA,,https://amazon.de/dp/B007BZ2AQY,"59,99",,,,,
,,1,Schraubendreher Satz,isoliert,WERA,,https://amazon.de/dp/B007BSNOCU,"59,99",,,,,
